customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST100000,Female,0,No,Yes,54,No,Yes,Fiber optic,No internet service,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,115.57,1956.23,No
CUST100001,Male,0,Yes,No,39,Yes,No,DSL,No,No,No,No,Yes,No internet service,Two year,No,Electronic check,100.79,5442.18,No
CUST100002,Female,0,Yes,No,14,Yes,No phone service,DSL,No internet service,No internet service,No,No,No internet service,No,One year,No,Electronic check,29.84,5481.58,No
CUST100003,Male,0,No,Yes,72,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Electronic check,79.03,8988.47,Yes
CUST100004,Female,1,No,No,24,Yes,Yes,DSL,No internet service,Yes,No,No,No internet service,Yes,Two year,Yes,Mailed check,77.71,3436.7,No
CUST100005,Female,1,Yes,No,28,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,One year,Yes,Credit card,117.28,4996.05,No
CUST100006,Female,0,No,No,10,Yes,No phone service,DSL,No,No internet service,No,No,Yes,No internet service,Two year,No,Credit card,20.94,1817.45,Yes
CUST100007,Female,0,Yes,Yes,66,Yes,No,DSL,Yes,Yes,No internet service,Yes,Yes,No internet service,Two year,No,Mailed check,73.7,2184.56,Yes
CUST100008,Male,0,Yes,No,51,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Credit card,43.81,5945.44,No
CUST100009,Female,0,Yes,No,27,Yes,Yes,DSL,Yes,No internet service,No internet service,No,Yes,No internet service,One year,No,Bank transfer,61.09,1213.17,No
CUST100010,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,59.59,1218.15,No
CUST100011,Female,0,No,No,10,Yes,No,Fiber optic,No,No internet service,No,No internet service,No,No internet service,Two year,Yes,Credit card,24.2,8586.63,Yes
CUST100012,Male,0,Yes,No,22,Yes,No phone service,No,No,No internet service,Yes,No internet service,No,Yes,Two year,Yes,Credit card,92.28,4393.38,Yes
CUST100013,Female,0,No,Yes,34,Yes,Yes,DSL,No internet service,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card,32.59,2972.4,Yes
CUST100014,Male,0,Yes,Yes,42,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,65.2,7985.51,Yes
CUST100015,Male,0,No,Yes,29,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No,One year,No,Mailed check,20.44,5154.84,No
CUST100016,Male,0,No,Yes,28,Yes,Yes,DSL,No,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Credit card,49.69,7160.86,No
CUST100017,Male,0,No,No,3,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Electronic check,117.62,1749.12,No
CUST100018,Female,0,Yes,Yes,4,Yes,No,No,Yes,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,19.4,5863.94,Yes
CUST100019,Male,0,No,No,43,Yes,No,No,No internet service,No,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,115.05,3420.6,No
CUST100020,Male,0,No,No,47,Yes,No,DSL,Yes,No,Yes,No internet service,No,Yes,Two year,Yes,Credit card,103.18,6520.63,No
CUST100021,Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,24.04,6444.21,No
CUST100022,Female,0,No,No,54,No,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,One year,No,Mailed check,83.68,8769.11,Yes
CUST100023,Female,0,Yes,Yes,55,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,108.95,4188.85,No
CUST100024,Male,0,Yes,Yes,39,Yes,No,No,No,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Electronic check,29.01,6302.07,No
CUST100025,Male,0,No,No,70,No,Yes,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card,52.93,7148.86,No
CUST100026,Female,0,No,Yes,15,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,45.23,6799.09,Yes
CUST100027,Female,0,Yes,No,42,Yes,No phone service,No,Yes,No internet service,No,Yes,No,No,One year,Yes,Bank transfer,20.99,5140.89,No
CUST100028,Male,0,No,Yes,25,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,96.91,2947.45,No
CUST100029,Male,1,No,Yes,33,Yes,No,No,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer,58.66,5362.26,Yes
